Empresa,Producto,Presentacion,Principio_activo,1,2,3,4,5,6,7,8,9,10,11,12
"Abbott Laboratories de MÇxico, S.A. de C.V.",BLOPRESS,Caja con 14 tabletas de16 mg.,Candesartan Cilexetilo,357.975,376.7166667,389.575,410.325,413.7,434.4,457.9,457.9,480.8,,,
"Abbott Laboratories de MÇxico, S.A. de C.V.",BLOPRESS,Caja con 28 tabletas de 16 mg.,Candesartan Cilexetilo,640.4,683.475,706.8,744.475,764.35,803.9,828,828,869.4,,,
"Abbott Laboratories de MÇxico, S.A. de C.V.",BLOPRESS,Caja con 14 tabletas de 8 mg.,Candesartan Cilexetilo,269.5,270.85,284.025,299.1416667,309.85,326.1,343.7,343.7,343.7,,,
"Abbott Laboratories de MÇxico, S.A. de C.V.",BLOPRESS,Caja con 28 tabletas de 8 mg.,Candesartan Cilexetilo,476.675,497.425,521.65,549.4583333,579.3916667,610.8,623,623,666.6,,,
"Abbott Laboratories de MÇxico, S.A. de C.V.",BLOPRESS PLUS,Caja con 14 tabletas de16 mg./12.5 mg.,Candesartan Cilexetilo/Hidroclorotiazida,306.5,327.6333333,343.575,361.9,374.8916667,394.6,415.9,415.9,436.7,,,
"Abbott Laboratories de MÇxico, S.A. de C.V.",BLOPRESS PLUS,Caja con 28 tabletas de 16 mg./12.5 mg.,Candesartan Cilexetilo/Hidroclorotiazida,575.8875,613.6166667,633.0125,666.8,690.8166667,727.1,756.2,756.2,794,,,
"Abbott Laboratories de MÇxico, S.A. de C.V.",ZEMPLAR,Caja con 30 c†psulas de 2 mcg,Paricalcitol,,,5175,5175,5175,5175,,,,,,
"Abbott Laboratories de MÇxico, S.A. de C.V.",ZEMPLAR ,Caja con 5 ampolletas de 5 mcg/1 ml,Paricalcitol,,2070,2070,2011.666667,1930,1930,,,,,,
ABBVIE Farmaceuticos S.A de C.V,HUMIRA,Jeringa Prellenada con autoinyector soluciÛn 40 mg,Adalimumab,,,,,,,,,,,8689,9087.75
ABBVIE Farmaceuticos S.A de C.V,HUMIRA,Caja con jeringa prellenada con 40 mg.,Adalimumab,7269.333333,7500,7781.25,7875,7875,7875,7875,8354.6,8354.6,8466.066667,8689,9087.75
ABBVIE Farmaceuticos S.A de C.V,KALETRA,Frasco con 160 ml. Solucion,Lopinavir /Ritonavir,3170,3170,3170,3170,3170,3170,3170,3170,3170,3212.333333,3297,3297
ABBVIE Farmaceuticos S.A de C.V,KALETRA,Frasco con 120 tabletas 200 mg/ 50 mg.,Lopinavir /Ritonavir,,,6500,6500,6500,6500,6500,6500,6500,6586.666667,6760,6760
ABBVIE Farmaceuticos S.A de C.V,KALETRA,Frasco con 60 tabletas 100 mg/ 25 mg.,Lopinavir /Ritonavir,,,,,3250,3250,3183.333333,3050,3050,3040,3040,3050
ABBVIE Farmaceuticos S.A de C.V,NORVIR,2 frascos con 84 c†psulas de 100 mg.,Ritonavir,3049.8,3049.8,3049.8,3049.8,3049.8,3049.8,3049.8,3049.8,3049.8,3049.8,,
ABBVIE Farmaceuticos S.A de C.V,NORVIR,Frasco con 30 tabletas de 100 mg.,Ritonavir,,,,,,,,,544.6,544.6,567,567
ABBVIE Farmaceuticos S.A de C.V,VIEKIRA PAK,Caja con 4 cajas individuales con 7 carteras con 2 tabletas y 2 tabletas (Dasabuvir),Ombitasvir / Paritaprevir / Ritonavir y Dasabruvir,,,,,,,,,,,283334,283334
"Actelion Pharmaceuticals, S.A. de C.V.",ZAVESCA,Caja con 84 c†psulas de 100 mg,Miglustat,,,,,,173526,173526,173526,173526,173526,173526,173526
"Alcon Laboratorios, S.A. de C.V:",NEVANAC,Frasco gotero con 5 ml.,Nepafenaco,,,299.5,299.5,314.2125,334.81,334.81,348.0827273,480.81,480.81,,415.1
"Alcon Laboratorios, S.A. de C.V:",PATANOL,Caja con frasco gotero con 5 ml.,Olopatadina,395,395,399.1666667,400,407.2,417.28,417.28,417.28,,,,
